id,name,slug,sku,brand,price,originalPrice,discount,stock,unit,weight,categoryId,categoryName,status,isActive,images,tags,shortDescription,description,detailedDescription,coverImage,featured,bestseller
202601051,"Red Lentils (Masoor Dal) – 1kg",red-lentils-masoor-dal-1kg,DAL-001,FreshHarvest,3.99,3.99,12.5,120,piece,1,1,Staples,active,true,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Red_Lentils_Masoor_Dal_1kg.png?v=1755707998,"lentils,masoor,protein,staples,vegan",,"Premium-grade red lentils (Masoor Dal) that are double-cleaned for purity and even cooking. Naturally rich in plant protein, iron, and dietary fiber, they cook fast into a creamy, mildly sweet dal—perfect for curries, soups, khichuri, and healthy meal prep. Ideal for vegetarian and high-protein diets, with a smooth texture that pairs well with aromatic spices.",,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Red_Lentils_Masoor_Dal_1kg.png?v=1755707998,true,false
202601052,"Split Red Lentils (Masoor Dal) – 500g",split-red-lentils-masoor-500g,DAL-002,FreshHarvest,2.39,,0,140,piece,0.5,1,Staples,active,true,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Red_Lentils_Masoor_Dal_1kg.png?v=1755707998,"lentils,quick-cook,fiber,staples",,"Finely split red lentils that soften rapidly for quick weekday cooking. Naturally low in fat and a great source of fiber, they deliver a comforting, earthy flavor and silky texture. Perfect for light dals, soups, and porridge-style dishes—ready in minutes without compromising nutrition.",,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Red_Lentils_Masoor_Dal_1kg.png?v=1755707998,false,false
202601053,"Premium Aromatic Basmati Rice – 5kg",premium-aromatic-basmati-rice-5kg,RICE-001,GoldenGrain,15.99,15.99,9.4,80,piece,5,1,Staples,active,true,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Premium_Aromatic_Basmati_Rice.jpg?v=1755707997,"rice,basmati,long-grain,staples",,"Naturally aged basmati rice with long, slender grains that cook fluffy and separate, releasing a delicate floral aroma. Ideal for biryani, pulao, and special-occasion meals where texture and fragrance matter. Low in stickiness and consistent in quality, this rice elevates everyday plates and festive recipes alike.",,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Premium_Aromatic_Basmati_Rice.jpg?v=1755707997,true,false
202601054,"Aged Basmati Rice – 2kg",aged-basmati-rice-2kg,RICE-002,GoldenGrain,7.25,,0,95,piece,2,1,Staples,active,true,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Premium_Aromatic_Basmati_Rice.jpg?v=1755707997,"rice,basmati,aged,staples",,"Carefully aged basmati rice for an enhanced aroma and firmer bite. The grains expand beautifully while remaining non-sticky, making it a dependable choice for pulao, fried rice, and everyday family meals. A premium pantry essential that consistently delivers restaurant-quality results.",,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Premium_Aromatic_Basmati_Rice.jpg?v=1755707997,false,false
202601055,"Turmeric Powder – 200g Pouch",turmeric-powder-200g,SPICE-001,SpiceWorld,2.99,,0,150,piece,0.2,3,"Spices & Seasonings",active,true,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Turmeric_Powder_200g_Pouch.jpg?v=1755707996,"turmeric,spices,curcumin,wellness",,"Vibrant, finely milled turmeric powder made from sun-cured roots. Adds deep golden color and warm, earthy flavor to curries, marinades, and soups. Celebrated for its natural curcumin content—commonly used in wellness beverages like golden milk and ginger-turmeric tea.",,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Turmeric_Powder_200g_Pouch.jpg?v=1755707996,false,false
202601056,"Organic Turmeric Powder – 100g",organic-turmeric-powder-100g,SPICE-002,SpiceWorld,3.49,,0,110,piece,0.1,3,"Spices & Seasonings",active,true,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Turmeric_Powder_200g_Pouch.jpg?v=1755707996,"turmeric,organic,spices,wellness",,"Certified organic turmeric powder with naturally bold color and aroma. Packed with antioxidants and a gentle peppery bite, it's perfect for health-forward recipes—from detox shots and herbal teas to curries and stir-fries. Small pack, big freshness, easy to finish while flavors are at their peak.",,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Turmeric_Powder_200g_Pouch.jpg?v=1755707996,true,false
202601057,"Organic Mustard Oil – 1 Liter",organic-mustard-oil-1l,OIL-001,PureNature,6.99,,0,90,piece,1,4,Cooking Oils,active,true,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Organic_Mustard_Oil_1_Liter_Cold-Pressed.webp?v=1755707996,"mustard-oil,cold-pressed,cooking-oil,organic",,"Traditional cold-pressed mustard oil with a bold, authentic aroma and natural pungency. Retains essential fatty acids and antioxidants thanks to low-heat extraction. A kitchen staple for frying, sautéing, pickling, and marinades—and a time-honored choice for massage and hair care.",,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Organic_Mustard_Oil_1_Liter_Cold-Pressed.webp?v=1755707996,false,false
202601058,"Cold-Pressed Mustard Oil – 500ml",cold-pressed-mustard-oil-500ml,OIL-002,PureNature,3.99,,0,120,piece,0.5,4,Cooking Oils,active,true,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Organic_Mustard_Oil_1_Liter_Cold-Pressed.webp?v=1755707996,"mustard-oil,cold-pressed,cooking,pickling",,"Half-liter bottle of robust, cold-pressed mustard oil—great for smaller households or trial use. Distinct flavor suits traditional recipes, from fish fry to achar (pickles). Minimal processing preserves its characteristic kick and wholesome goodness.",,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Organic_Mustard_Oil_1_Liter_Cold-Pressed.webp?v=1755707996,false,false
202601059,"Fresh Potatoes – 2kg Family Pack",fresh-potatoes-2kg,VEG-001,"GreenField Farms",2.99,,0,200,piece,2,2,Vegetables,active,true,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Fresh_Potatoes.png?v=1755791869,"potatoes,vegetables,staples,fresh",,"Farm-fresh, firm potatoes selected for consistent size and quality. Versatile for boiling, roasting, frying, and mashing, they hold shape well and deliver a mild, buttery taste. A true everyday essential for homestyle curries, fries, and comfort food classics.",,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Fresh_Potatoes.png?v=1755791869,false,false
2026010510,"Baby Potatoes – 1kg",baby-potatoes-1kg,VEG-002,"GreenField Farms",2.19,2.19,9.1,130,piece,1,2,Vegetables,active,true,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Fresh_Potatoes.png?v=1755791869,"potatoes,baby-potatoes,fresh,roasting",,"Tender, thin-skinned baby potatoes with a naturally sweet, buttery profile. Excellent for roasting whole, pan-frying with herbs, or adding to creamy gravies. Their delicate texture and quick cooking time make them a favorite for weeknight meals and festive sides.",,https://cdn.shopify.com/s/files/1/0850/9797/2012/files/Fresh_Potatoes.png?v=1755791869,true,false
2026010511,"Fresh Onions – 1kg",fresh-onions-1kg,VEG-003,"GreenField Farms",1.99,,0,150,piece,1,2,Vegetables,active,true,https://images.unsplash.com/photo-1518977956812-cd3dbadaaf31?w=400,"onions,vegetables,fresh,cooking",,"Fresh, firm onions perfect for cooking. Essential ingredient for curries, soups, and everyday cooking. Long shelf life and versatile use.",,https://images.unsplash.com/photo-1518977956812-cd3dbadaaf31?w=400,false,false
2026010512,"Fresh Tomatoes – 1kg",fresh-tomatoes-1kg,VEG-004,"GreenField Farms",2.49,2.99,16.7,100,piece,1,2,Vegetables,active,true,https://images.unsplash.com/photo-1546470427-227ae4b8b7a0?w=400,"tomatoes,vegetables,fresh,vitamins",,"Juicy, ripe tomatoes perfect for salads, cooking, and sauces. Rich in vitamins and antioxidants.",,https://images.unsplash.com/photo-1546470427-227ae4b8b7a0?w=400,true,false
2026010513,"Cumin Seeds – 100g",cumin-seeds-100g,SPICE-003,SpiceWorld,1.99,,0,80,piece,0.1,3,"Spices & Seasonings",active,true,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,"cumin,spices,seeds,aromatic",,"Aromatic cumin seeds with earthy, warm flavor. Essential for Indian, Middle Eastern, and Mexican cuisines.",,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,false,false
2026010514,"Coriander Powder – 200g",coriander-powder-200g,SPICE-004,SpiceWorld,2.49,,0,90,piece,0.2,3,"Spices & Seasonings",active,true,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,"coriander,spices,powder,citrusy",,"Finely ground coriander powder with citrusy, slightly sweet flavor. Perfect for curries, marinades, and spice blends.",,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,false,false
2026010515,"Coconut Oil – 500ml",coconut-oil-500ml,OIL-003,PureNature,4.99,,0,70,piece,0.5,4,Cooking Oils,active,true,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,"coconut-oil,virgin,cooking,skincare",,"Pure virgin coconut oil with natural aroma. Great for cooking, baking, and skincare.",,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,false,false
2026010516,"Sunflower Oil – 1L",sunflower-oil-1l,OIL-004,PureNature,3.99,4.49,11.1,85,piece,1,4,Cooking Oils,active,true,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,"sunflower-oil,light,vitamin-e,frying",,"Light, neutral-tasting sunflower oil perfect for frying and baking. High in vitamin E.",,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,true,false
2026010517,"Fresh Milk – 1L",fresh-milk-1l,DAIRY-001,FarmFresh,1.99,,0,60,piece,1,5,"Dairy & Eggs",active,true,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,"milk,dairy,fresh,calcium",,"Fresh, whole milk from local farms. Rich in calcium and protein.",,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,false,false
2026010518,"Free Range Eggs – 12 pieces",free-range-eggs-12,DAIRY-002,FarmFresh,3.49,,0,45,piece,0.6,5,"Dairy & Eggs",active,true,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,"eggs,free-range,fresh,protein",,"Farm-fresh free range eggs with rich, golden yolks. Perfect for breakfast and baking.",,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,true,false
2026010519,"Fresh Bananas – 1kg",fresh-bananas-1kg,FRUIT-001,TropicalFruits,1.99,,0,75,piece,1,6,Fruits,active,true,https://images.unsplash.com/photo-1610832958506-aa56368176cf?w=400,"bananas,fruits,potassium,fiber",,"Sweet, ripe bananas perfect for snacking or baking. Rich in potassium and fiber.",,https://images.unsplash.com/photo-1610832958506-aa56368176cf?w=400,false,false
2026010520,"Fresh Apples – 1kg",fresh-apples-1kg,FRUIT-002,TropicalFruits,2.99,3.49,14.3,65,piece,1,6,Fruits,active,true,https://images.unsplash.com/photo-1610832958506-aa56368176cf?w=400,"apples,fruits,antioxidants,crisp",,"Crisp, sweet apples perfect for snacking or cooking. Rich in antioxidants.",,https://images.unsplash.com/photo-1610832958506-aa56368176cf?w=400,true,false
2026010521,"Whole Wheat Flour – 2kg",whole-wheat-flour-2kg,STAPLE-001,GoldenGrain,4.99,,0,50,piece,2,1,Staples,active,true,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400,"flour,wheat,baking,healthy",,"Premium whole wheat flour perfect for baking bread, rotis, and healthy baked goods.",,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400,false,false
2026010522,"Chickpeas (Chana) – 500g",chickpeas-chana-500g,STAPLE-002,FreshHarvest,2.99,,0,85,piece,0.5,1,Staples,active,true,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400,"chickpeas,protein,fiber,vegan",,"High-protein chickpeas perfect for curries, salads, and hummus. Rich in fiber and plant protein.",,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400,true,false
